"original-question","alternative-question","sql"
"Which employees are on vacation this week?","Could you tell me which employees are taking vacation this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","List the employees who are off on vacation this week.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Show me the employees who are currently on vacation this week.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Who are the active employees that are on vacation this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","What employees are on vacation during this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Identify the employees that have vacation leave this week.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Who are the individuals from our team that are on vacation this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Can you show the employees with vacation this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Which employees are utilizing their vacation leave this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Who is taking vacation leave this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Can you find out which employees are on their vacation this week?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Which employees are on vacation this week?","Please identify the employees on vacation for this week.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE ((((""t2"".""is_active"" = 1) AND ((date(""t1"".""start_date"") <= date('now')) AND (date(""t1"".""end_date"") >= date('now')))) AND ((((date(""t1"".""start_date"") >= '2025-02-27') AND (date(""t1"".""start_date"") <= '2025-03-05')) OR ((date(""t1"".""end_date"") >= '2025-02-27') AND (date(""t1"".""end_date"") <= '2025-03-05'))) OR ((date(""t1"".""start_date"") <= '2025-02-27') AND (date(""t1"".""end_date"") >= '2025-03-05')))) AND (LOWER(""t1"".""policy_type"") LIKE '%vacation%'))"
"Who has scheduled time off for next month?","Which employees have taken time off in the upcoming month?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Can you tell me who is scheduled for leave next month?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Who are the employees that have planned vacation for next month?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","List the individuals who have requested time off for next month.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Who has planned their time away from work for next month?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Show me the staff members with approved time off for the next month.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Which workers have scheduled absences for next month?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Identify the employees that have time off arranged for next month.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Who is on leave next month?","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
"Who has scheduled time off for next month?","Please provide the names of employees taking time off in the next month.","SELECT ""t1"".""id"", ""t1"".""employee_id"", ""t1"".""policy_type"", ""t1"".""start_date"", ""t1"".""end_date"", ""t1"".""type"", ""t1"".""status"", ""t1"".""created_at"", ""t1"".""updated_at"", ""t2"".""id"", ""t2"".""updated_at"", ""t2"".""full_name"", ""t2"".""nationality"", ""t2"".""department"", ""t2"".""is_manager"", ""t2"".""location"", ""t2"".""linkedin"", ""t2"".""twitter_x"", ""t2"".""facebook"", ""t2"".""email"", ""t2"".""is_active"", ""t2"".""reports_to_id"", ""t2"".""birth_date"", ""t2"".""client"" FROM ""time_off"" AS ""t1"" INNER JOIN ""employees"" AS ""t2"" ON (""t1"".""employee_id"" = ""t2"".""id"") WHERE (((""t2"".""is_active"" = 1) AND (date(""t1"".""start_date"") > date('now'))) AND ((((date(""t1"".""start_date"") >= '2025-03-01') AND (date(""t1"".""start_date"") <= '2025-03-31')) OR ((date(""t1"".""end_date"") >= '2025-03-01') AND (date(""t1"".""end_date"") <= '2025-03-31'))) OR ((date(""t1"".""start_date"") <= '2025-03-01') AND (date(""t1"".""end_date"") >= '2025-03-31'))))"
